lookback_period,body_multiplier,backcandles,test_candles,max_drawdown_threshold,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals
50.0,1.0,45.0,5.0,0.6,11.793765990094968,13.820795332482842,-14.666517328592313,0.06201981797834352,0.054985103972787205,12.793854148276015,0.6394035298929721,0.7667059828725817,-16.603816302913334,61,45,1841
50.0,2.0,60.0,15.0,0.6,11.761145966141477,13.820795332482842,-14.902538651307545,0.054725991722147156,0.054985103972787205,-0.47124081236308474,0.7020398340756644,0.7667059828725817,-8.434282533525522,18,8,1921
10.0,1.0,45.0,5.0,0.4,11.757691559403742,13.820795332482842,-14.927532920122278,0.06163395403608806,0.054985103972787205,12.092093281466653,0.6132032256726524,0.7667059828725817,-20.021072044437123,67,52,1828
50.0,1.0,45.0,5.0,0.4,11.680915160620083,13.820795332482842,-15.483046527962289,0.06149363128349158,0.054985103972787205,11.83689188607431,0.6132032256726528,0.7667059828725817,-20.021072044437066,66,51,1830
10.0,2.0,30.0,5.0,0.4,11.470131315612306,13.820795332482842,-17.008167477495302,0.05983773367666572,0.054985103972787205,8.825353328930943,0.631041132530364,0.7667059828725817,-17.694507852140212,50,35,1862
10.0,1.5,30.0,5.0,0.6,11.450116465519262,13.820795332482842,-17.152984397300227,0.060581584568774986,0.054985103972787205,10.178175890614932,0.5786654934846013,0.7667059828725817,-24.525762624605836,53,32,1862
50.0,2.0,60.0,10.0,0.4,10.957731218238603,13.820795332482842,-20.715624863608355,0.05569188397023643,0.054985103972787205,1.285402675239132,0.6053177308561578,0.7667059828725817,-21.04956210355344,31,17,1899
30.0,1.0,45.0,5.0,0.6,10.733313537342106,13.820795332482842,-22.3393930730185,0.05988934365340306,0.054985103972787205,8.919215071491037,0.6394035298929721,0.7667059828725817,-16.603816302913334,63,44,1840
30.0,1.0,45.0,5.0,0.4,10.630609843142949,13.820795332482842,-23.082502942808507,0.05938349312087755,0.054985103972787205,7.999237666745447,0.6132032256726528,0.7667059828725817,-20.021072044437066,68,50,1829
50.0,2.0,30.0,15.0,0.6,10.627308562690475,13.820795332482842,-23.1063892704261,0.05230099369343168,0.054985103972787205,-4.881522604165534,0.6289593075881315,0.7667059828725817,-17.96603631138513,11,5,1931
