Date,Open,High,Low,Close,Volume,Risk Free Rate
2023-01-22,0.08467,0.09339,0.08436,0.08823,614365118.1,0.0348399996757507
2023-01-23,0.08823,0.09152,0.08621,0.08853,538591634.2,0.0352500009536743
2023-01-24,0.08854,0.09083,0.0822,0.08388,437063382.0,0.0346900010108947
2023-01-25,0.08389,0.0882,0.08167,0.08655,448878296.3,0.0346199989318847
2023-01-26,0.08657,0.08774,0.0846,0.08636,320110878.3,0.0349300003051757
2023-01-27,0.08635,0.08803,0.08358,0.08728,328730473.2,0.0351799988746643
2023-01-28,0.08726,0.09372,0.08685,0.08777,382676892.3,0.0351799988746643
2023-01-29,0.08777,0.091,0.08731,0.09008,292300101.3,0.0351799988746643
2023-01-30,0.09009,0.09339,0.08467,0.08833,488904062.1,0.0355100011825561
2023-01-31,0.08832,0.09781,0.08823,0.09611,1035656561.1,0.0352900004386901
2023-02-01,0.09612,0.09718,0.08822,0.09404,724354257.4,0.0339700007438659
2023-02-02,0.09404,0.09601,0.09006,0.09104,464611851.2,0.0339599990844726
2023-02-03,0.09104,0.09336,0.09032,0.09293,302109425.3,0.0353200006484985
2023-02-04,0.09293,0.09981,0.09251,0.09565,639641304.9,0.0353200006484985
2023-02-05,0.09565,0.097,0.09045,0.09206,448680890.8,0.0353200006484985
2023-02-06,0.09204,0.09329,0.08845,0.0896,265410783.1,0.036340000629425
2023-02-07,0.0896,0.09277,0.08945,0.09255,264361785.6,0.0367400002479553
2023-02-08,0.09256,0.09339,0.08851,0.09018,258551920.9,0.0365300011634826
2023-02-09,0.09018,0.09093,0.07889,0.08144,637180147.2,0.0368300008773803
2023-02-10,0.08147,0.08304,0.07944,0.0809,360112569.0,0.0374399995803833
2023-02-11,0.0809,0.08259,0.08066,0.08227,125514432.3,0.0374399995803833
2023-02-12,0.08229,0.08582,0.08119,0.08218,291770645.6,0.0374399995803833
2023-02-13,0.08217,0.08645,0.07951,0.08216,457128943.7,0.0371700000762939
2023-02-14,0.08217,0.08373,0.08019,0.08361,330392001.6,0.03760999917984
2023-02-15,0.0836,0.0896,0.08267,0.08927,598886301.7,0.0380900001525878
