,Open,High,Low,Close,Volume,Risk Free Rate
2023-03-23,1738.99,1861.67,1733.77,1817.49,182879.51736378,0.03405999898910522
2023-03-24,1817.27,1822.55,1728.27,1751.93,193658.46405908,0.03380000114440918
2023-03-25,1751.79,1764.93,1715.23,1743.8,80639.99683541,0.03380000114440918
2023-03-26,1743.69,1801.02,1741.01,1775.86,81741.29679602,0.03380000114440918
2023-03-27,1775.85,1782.19,1688.0,1716.42,120123.69610665,0.03528000116348266
2023-03-28,1716.13,1795.54,1701.81,1773.7,126114.46205033,0.03563999891281128
2023-03-29,1773.82,1827.7,1772.99,1793.41,124064.2834112,0.03565999984741211
2023-03-30,1793.4,1829.82,1762.94,1793.68,136706.00627233,0.03551000118255615
2023-03-31,1793.68,1847.12,1779.47,1822.01,150470.34252747,0.0349399995803833
2023-04-01,1822.11,1843.0,1809.12,1821.73,75499.214378,0.0349399995803833
2023-04-02,1821.69,1825.97,1773.25,1795.37,53524.50081719,0.0349399995803833
2023-04-03,1795.41,1839.99,1763.58,1810.92,156367.81692427,0.03430000066757202
2023-04-04,1810.91,1892.1,1802.76,1871.36,160288.10821587,0.03336999893188477
2023-04-05,1871.19,1943.64,1865.24,1908.9,159154.20039336,0.03286999940872192
2023-04-06,1908.89,1910.59,1854.06,1873.29,106044.61222348,0.032880001068115235
2023-04-07,1873.28,1883.35,1842.25,1865.02,59267.01815764,0.032880001068115235
2023-04-08,1865.02,1880.56,1848.21,1850.06,38479.70792157,0.032880001068115235
2023-04-09,1849.83,1874.78,1823.11,1859.84,57884.00934696,0.032880001068115235
2023-04-10,1859.85,1920.0,1847.5,1911.23,100746.45225435,0.034149999618530276
2023-04-11,1911.22,1938.85,1883.24,1891.82,115741.82211523,0.03434000015258789
2023-04-12,1891.78,1934.08,1855.79,1918.91,156466.30398029,0.034210000038146976
2023-04-13,1918.9,2025.0,1901.12,2013.98,199544.51674204,0.034519999027252196
2023-04-14,2014.12,2131.2,2011.2,2101.85,261883.28915686,0.03522000074386597
2023-04-15,2101.81,2112.88,2073.79,2092.45,82555.5452833,0.03522000074386597
2023-04-16,2092.44,2142.85,2074.32,2120.07,87897.67238295,0.03522000074386597
2023-04-17,2120.01,2122.02,2058.0,2075.63,111821.36109573,0.035910000801086424
2023-04-18,2075.63,2125.0,2052.52,2104.61,98463.83447004,0.03572000026702881
2023-04-19,2104.54,2105.9,1923.33,1934.8,180156.78946917,0.03601999998092651
2023-04-20,1934.63,1983.34,1914.16,1943.16,127783.1585988,0.03545000076293945
2023-04-21,1942.91,1956.81,1824.67,1848.16,184098.48749579,0.03569999933242798
2023-04-22,1848.21,1887.88,1842.11,1874.48,58568.76361222,0.03569999933242798
2023-04-23,1874.48,1882.6,1837.3,1861.9,59392.15616391,0.03569999933242798
2023-04-24,1861.91,1890.0,1805.38,1842.17,151059.34701623,0.03515000104904175
2023-04-25,1842.11,1878.16,1801.46,1866.23,121957.82152629,0.033959999084472656
2023-04-26,1866.22,1965.04,1785.51,1866.73,220757.79257172,0.03431999921798706
2023-04-27,1866.73,1939.56,1862.08,1908.92,173658.77646459,0.03528000116348266
2023-04-28,1908.92,1924.79,1875.0,1892.54,102737.14594464,0.034519999027252196
2023-04-29,1892.43,1919.15,1884.58,1908.96,43424.36883267,0.034519999027252196
2023-04-30,1908.96,1939.76,1866.5,1870.76,68260.39204639,0.034519999027252196
2023-05-01,1870.67,1887.12,1805.95,1831.41,123062.84388793,0.03573999881744385
2023-05-02,1831.36,1882.55,1823.21,1871.26,96998.09681491,0.034389998912811276
2023-05-03,1871.27,1917.16,1843.52,1905.89,104714.67015513,0.03403000116348267
2023-05-04,1905.89,1918.34,1867.71,1878.01,69495.9189541,0.033510000705718995
2023-05-05,1878.25,2000.0,1876.36,1995.76,181402.98639087,0.03446000099182129
2023-05-06,1995.77,2020.0,1864.06,1900.12,112739.21557998,0.03446000099182129
2023-05-07,1900.12,1936.45,1870.61,1873.27,74231.15468325,0.03446000099182129
2023-05-08,1873.28,1886.87,1810.0,1849.11,168218.43505268,0.03520999908447266
2023-05-09,1849.11,1862.57,1832.0,1847.7,93273.22792235,0.03520999908447266
2023-05-10,1847.5,1888.97,1789.75,1842.47,176402.42399244,0.034389998912811276
2023-05-11,1842.33,1843.62,1772.26,1795.24,133802.64396645,0.03397000074386597
2023-05-12,1795.22,1817.25,1737.76,1808.35,138780.08409832,0.034630000591278076
2023-05-13,1808.24,1817.32,1786.44,1795.99,51855.71796261,0.034630000591278076
2023-05-14,1796.01,1824.67,1790.49,1800.03,46196.57094705,0.034630000591278076
2023-05-15,1800.0,1848.05,1785.52,1816.79,117667.19574722,0.03507999897003174
2023-05-16,1816.8,1833.25,1796.86,1824.64,82503.84666329,0.035490000247955324
2023-05-17,1824.57,1837.15,1783.59,1822.49,94085.03920847,0.03581000089645386
2023-05-18,1822.46,1831.84,1770.88,1800.61,80676.45327688,0.036480000019073484
2023-05-19,1800.61,1830.0,1797.08,1812.84,64344.11418462,0.03691999912261963
2023-05-20,1812.84,1829.85,1807.26,1819.96,33384.79974843,0.03691999912261963
2023-05-21,1819.9,1829.53,1797.19,1805.28,33106.35974055,0.03691999912261963
2023-05-22,1805.35,1829.51,1791.99,1817.76,65551.70673749,0.03719000101089478
2023-05-23,1817.76,1873.7,1815.59,1854.41,86046.40887122,0.036979999542236325
2023-05-24,1854.42,1854.75,1774.56,1799.75,91642.89182667,0.03719000101089478
2023-05-25,1799.79,1818.94,1759.45,1805.83,83744.8701424,0.03813999891281128
2023-05-26,1805.76,1838.96,1796.75,1828.43,69736.78276535,0.03809999942779541
2023-05-27,1828.32,1837.0,1812.92,1830.67,28429.50747639,0.03809999942779541
2023-05-28,1830.6,1921.0,1823.86,1909.25,81609.20883023,0.03809999942779541
2023-05-29,1909.1,1928.51,1874.14,1893.2,91048.58194716,0.03809999942779541
2023-05-30,1893.18,1917.61,1881.93,1901.11,96724.93469207,0.03700000047683716
2023-05-31,1901.1,1908.04,1847.61,1874.04,93058.72475908,0.0363700008392334
2023-06-01,1874.08,1889.29,1839.72,1862.43,96470.72304438,0.03608000040054321
2023-06-02,1862.33,1911.31,1847.66,1907.41,87806.05449698,0.03690999984741211
2023-06-03,1907.44,1909.63,1882.42,1892.62,33883.00307554,0.03690999984741211
2023-06-04,1892.62,1914.83,1884.72,1890.23,32506.25336073,0.03690999984741211
2023-06-05,1890.22,1891.34,1777.25,1811.21,133729.38796529,0.03693000078201294
2023-06-06,1811.21,1898.25,1796.52,1884.95,117911.62779482,0.036989998817443845
2023-06-07,1884.93,1898.0,1820.0,1832.49,126979.80361204,0.03783999919891357
2023-06-08,1832.43,1861.59,1828.63,1845.99,53739.2409447,0.0371399998664856
2023-06-09,1846.21,1855.44,1826.92,1840.46,61326.07108796,0.03744999885559082
2023-06-10,1840.46,1845.19,1716.24,1752.32,180377.32723936,0.03744999885559082
2023-06-11,1752.32,1778.65,1739.0,1753.1,67320.65838212,0.03744999885559082
2023-06-12,1753.1,1759.58,1719.74,1742.66,104213.35741918,0.037650001049041745
2023-06-13,1742.69,1766.23,1723.68,1739.54,112831.26060085,0.03838999986648559
2023-06-14,1739.51,1749.85,1630.0,1650.84,124654.02551192,0.03796000003814697
2023-06-15,1650.84,1678.91,1620.15,1665.28,137062.43019777,0.03727999925613403
2023-06-16,1665.17,1727.8,1648.29,1716.8,88651.50050649,0.03769000053405762
2023-06-17,1716.71,1769.08,1712.96,1727.09,45580.87620723,0.03769000053405762
2023-06-18,1727.15,1747.4,1712.61,1720.43,37169.42339912,0.03769000053405762
2023-06-19,1720.4,1750.71,1698.53,1736.58,64986.67973263,0.03769000053405762
2023-06-20,1736.45,1797.24,1713.79,1792.86,131094.31127116,0.037290000915527345
2023-06-21,1792.71,1901.86,1787.4,1889.57,205714.82101311,0.037230000495910645
2023-06-22,1889.46,1933.72,1866.57,1872.13,136777.14234797,0.03799000024795532
2023-06-23,1872.13,1936.68,1861.37,1893.66,112622.71955974,0.03739000082015991
2023-06-24,1893.74,1906.86,1865.64,1875.87,44081.47507327,0.03739000082015991
2023-06-25,1875.88,1930.66,1869.88,1899.73,67353.84099709,0.03739000082015991
2023-06-26,1899.8,1908.95,1836.25,1859.19,89749.72763224,0.03719000101089478
2023-06-27,1859.19,1912.6,1855.41,1889.82,92097.01330236,0.037679998874664306
2023-06-28,1889.77,1890.49,1816.0,1827.37,101759.55539935,0.037100000381469725
2023-06-29,1827.3,1879.6,1826.43,1852.11,72773.6432135,0.038540000915527346
2023-06-30,1851.98,1946.75,1823.2,1933.57,211965.83457331,0.03819000005722046
2023-07-01,1933.7,1944.32,1908.65,1924.14,56737.84297268,0.03819000005722046
2023-07-02,1924.14,1959.7,1885.33,1937.26,85221.98862426,0.03819000005722046
2023-07-03,1937.28,1976.99,1933.46,1955.76,104013.30517861,0.03858000040054321
2023-07-04,1955.76,1967.07,1931.7,1936.42,61516.63477519,0.03858000040054321
2023-07-05,1936.44,1942.66,1894.18,1910.14,70482.06535559,0.03944999933242798
2023-07-06,1910.15,1957.76,1845.7,1845.8,124378.76917782,0.040409998893737795
2023-07-07,1846.04,1878.09,1825.38,1870.93,86368.39903159,0.040500001907348634
2023-07-08,1870.9,1873.23,1842.57,1865.56,49501.03716728,0.040500001907348634
2023-07-09,1865.56,1879.35,1856.62,1863.01,34389.84936597,0.040500001907348634
2023-07-10,1862.99,1905.83,1846.99,1880.62,90689.06095885,0.0400600004196167
2023-07-11,1880.62,1891.7,1862.23,1878.66,58861.84428148,0.03980000019073486
2023-07-12,1878.58,1905.0,1864.17,1871.65,91650.67609635,0.03861000061035156
2023-07-13,1871.65,2014.26,1862.44,2005.95,217841.38411854,0.037609999179840085
2023-07-14,2005.95,2029.34,1898.88,1938.91,164795.03146848,0.03819000005722046
2023-07-15,1938.99,1947.04,1926.92,1931.9,40675.73037046,0.03819000005722046
2023-07-16,1931.89,1944.15,1914.75,1923.38,39618.81522884,0.03819000005722046
2023-07-17,1923.21,1936.93,1873.61,1911.38,132065.00633478,0.03796999931335449
2023-07-18,1911.26,1917.49,1876.01,1897.72,129808.3219303,0.03789000034332275
2023-07-19,1897.72,1922.33,1882.15,1888.73,111607.1389253,0.03742000102996826
2023-07-20,1888.65,1929.03,1877.77,1891.72,100239.01603496,0.038540000915527346
2023-07-21,1891.76,1905.41,1884.43,1891.92,55235.39533058,0.038369998931884766
2023-07-22,1891.92,1897.62,1851.35,1866.69,42352.40590843,0.038369998931884766
2023-07-23,1866.61,1905.24,1858.19,1888.65,61563.29015459,0.038369998931884766
2023-07-24,1888.64,1890.93,1832.83,1849.69,127978.18134477,0.03857000112533569
2023-07-25,1849.68,1868.14,1844.69,1857.28,57419.42710699,0.03911999940872193
2023-07-26,1857.29,1887.75,1848.03,1871.92,72684.14808293,0.03851000070571899
2023-07-27,1871.92,1886.15,1854.39,1860.88,53353.05426066,0.0401200008392334
2023-07-28,1860.87,1882.77,1856.18,1874.05,52759.67579773,0.039690001010894774
2023-07-29,1874.01,1886.26,1869.1,1880.71,23628.03151224,0.039690001010894774
2023-07-30,1880.88,1885.46,1848.81,1861.65,49111.67488831,0.039690001010894774
2023-07-31,1861.65,1876.82,1850.55,1856.0,84251.92423923,0.03959000110626221
2023-08-01,1856.09,1874.88,1812.0,1872.89,160513.30855928,0.040510001182556155
2023-08-02,1872.78,1878.86,1820.1,1838.92,102912.60761585,0.04078000068664551
2023-08-03,1838.91,1857.6,1824.0,1834.34,70134.44959281,0.04189000129699707
2023-08-04,1834.34,1849.99,1813.45,1827.3,72934.78259447,0.04059999942779541
2023-08-05,1827.3,1837.16,1824.45,1834.66,24788.06790609,0.04059999942779541
2023-08-06,1834.66,1836.92,1823.7,1827.5,25736.92637861,0.04059999942779541
2023-08-07,1827.49,1844.11,1800.0,1826.9,80578.46482025,0.04078000068664551
2023-08-08,1826.9,1876.1,1824.0,1855.71,90813.36288326,0.040260000228881834
2023-08-09,1855.71,1870.85,1843.35,1854.09,67061.64786301,0.0401200008392334
2023-08-10,1854.09,1864.35,1844.07,1850.38,47379.82288863,0.04079999923706055
